Date,BCP,FGI,log_price,t,lppls_score,lppls_r2_score,lppls_urgency,lppls_tc_median,lppls_days_to_tc,lppls_valid_fits,lppls_score_smooth,lppls_r2_score_smooth,lppls_urgency_smooth,lppls_score_norm,lppls_days_to_tc_smooth,r2_signal,lppls_r2_smoothed,lppls_score_raw,lppls_fit_weight,lppls_tc_median_smooth,lppls_urgency_smooth_tc,lppls_score_tc_smooth,lppls_score_tc_smooth_smooth,lppls_urgency_smooth_tc_smooth,lppls_fit_weight_smooth,lppls_valid_fits_smooth,lppls_final_score,lppls_final_score_norm,lppls_r2_score_filled,lppls_valid_fits_filled,lppls_custom_final_score,lppls_custom_final_score_smooth
2025-12-21,88621.75,20.0,11.392132591793894,1277,0.0,0.0,0.0,,,0,4.933865065502994e-05,4.5528508400983864e-05,0.00012880467182040757,0.12602739726027398,-16.144661409781293,0.0,0.0,0.0,0.0,1260.8553385902187,1.0,0.0,6.097345051960794e-09,0.9174953819413201,0.00011540867901811588,0.002146915479304349,6.097345051960794e-09,0.005555555555555556,0.0,0.0,0.0,2.4992030553485886e-05
2025-12-22,88490.015625,25.0,11.390645006835005,1278,0.0,0.0,0.0,,,0,4.036798689956995e-05,3.7250597782623156e-05,0.00010538564058033346,0.1232876712328767,-18.928509213350253,0.0,0.0,0.0,0.0,1259.0714907866497,1.0,0.0,4.988736860695195e-09,0.9324962215883528,9.442528283300389e-05,0.0017565672103399218,4.988736860695195e-09,0.005555555555555556,0.0,0.0,0.0,2.0448024998306632e-05
2025-12-23,87414.0,24.0,11.37841073188205,1279,0.0,0.0,0.0,,,0,3.302835291782995e-05,3.0477761822146216e-05,8.622461502027282e-05,0.12054794520547946,-21.54246674991259,0.0,0.0,0.0,0.0,1257.4575332500874,1.0,0.0,4.08169379511425e-09,0.9447696358450159,7.725704959063953e-05,0.0014371913539144815,4.08169379511425e-09,0.005555555555555556,0.0,0.0,0.0,1.6730202271341787e-05
2025-12-24,87611.9609375,24.0,11.380672807986114,1280,0.0,0.0,0.0,,,0,2.7023197841860867e-05,2.4936350581755995e-05,7.054741228931413e-05,0.1178082191780822,-24.00271404489763,0.0,0.0,0.0,0.0,1255.9972859551024,1.0,0.0,3.3395676505480224e-09,0.9548115202368312,6.321031330143234e-05,0.0011758838350209393,3.3395676505480224e-09,0.005555555555555556,0.0,0.0,0.0,1.3688347312916006e-05
2025-12-25,87234.7421875,23.0,11.376357950130487,1281,0.0,0.0,0.0,,,0,2.210988914334071e-05,2.0402468657800358e-05,5.772061005489337e-05,0.11506849315068493,-26.32389016893171,0.0,0.0,0.0,0.0,1254.6761098310683,1.0,0.0,2.7323735322665638e-09,0.9630276074664983,5.171752906480827e-05,0.0009620867741080411,2.7323735322665638e-09,0.005555555555555556,0.0,0.0,0.0,1.1199556892385822e-05
2025-12-26,87301.4296875,20.0,11.37712211841181,1282,0.0,0.0,0.0,,,0,1.808990929909694e-05,1.6692928901836654e-05,4.722595368127639e-05,0.11232876712328767,-28.51923999543874,0.0,0.0,0.0,0.0,1253.4807600045613,1.0,0.0,2.235578344581734e-09,0.9697498606544077,4.231434196211586e-05,0.0007871619060883972,2.235578344581734e-09,0.005555555555555556,0.0,0.0,0.0,9.163273821042944e-06
2025-12-27,87802.15625,23.0,11.382841337977686,1283,0.0,0.0,0.0,,,0,1.4800834881079315e-05,1.3657850919684534e-05,3.8639416648317044e-05,0.1095890410958904,-30.600746981325983,0.0,0.0,0.0,0.0,1252.399253018674,1.0,0.0,1.829109554657782e-09,0.9752498859899699,3.4620825241731156e-05,0.0006440415595268704,1.829109554657782e-09,0.005555555555555556,0.0,0.0,0.0,7.497224035398772e-06
2025-12-28,87835.8359375,24.0,11.383224850536596,1284,0.0,0.0,0.0,,,0,1.2109773993610347e-05,1.1174605297923709e-05,3.1614068166804855e-05,0.10684931506849316,-32.57925330189073,0.0,0.0,0.0,0.0,1251.4207466981093,1.0,0.0,1.4965441810836398e-09,0.9797499067190663,2.832612974323458e-05,0.0005269430941583484,1.4965441810836398e-09,0.005555555555555556,0.0,0.0,0.0,6.134092392598995e-06
2025-12-29,87138.140625,24.0,11.375249961654015,1285,0.0,0.0,0.0,,,0,9.90799690386301e-06,9.142858880119398e-06,2.5866055772840335e-05,0.10410958904109589,-34.4645685443063,0.0,0.0,0.0,0.0,1250.5354314556937,1.0,0.0,1.2244452390684324e-09,0.9834317418610541,2.3175924335373746e-05,0.00043113525885683047,1.2244452390684324e-09,0.005555555555555556,0.0,0.0,0.0,5.018802866671905e-06
2025-12-30,88430.1328125,23.0,11.389968059462806,1286,0.0,0.0,0.0,,,0,8.106542921342463e-06,7.480520901915871e-06,2.116313654141482e-05,0.10136986301369863,-36.265568049348985,0.0,0.0,0.0,0.0,1249.734431950651,1.0,0.0,1.001818831965081e-09,0.9864441524317715,1.8962119910760336e-05,0.00035274702997377036,1.001818831965081e-09,0.005555555555555556,0.0,0.0,0.0,4.10629325454974e-06
2025-12-31,87508.828125,21.0,11.379494960113506,1287,0.0,0.0,0.0,,,0,6.632626026552924e-06,6.120426192476621e-06,1.731529353388485e-05,0.09863013698630137,-37.99028188724492,0.0,0.0,0.0,0.0,1249.009718112755,1.0,0.0,8.196699534259753e-10,0.9889088519896312,1.5514461745167547e-05,0.00028861120634217575,8.196699534259753e-10,0.005555555555555556,0.0,0.0,0.0,3.3596944809952414e-06
2026-01-01,88731.984375,20.0,11.393375693774058,1288,0.0,0.0,0.0,,,0,5.426694021725119e-06,5.007621430208144e-06,1.4167058345905786e-05,0.0958904109589041,-39.645975359626846,0.0,0.0,0.0,0.0,1248.3540246403732,1.0,0.0,6.706390528030706e-10,0.9909254243551526,1.2693650518773447e-05,0.00023613644155268923,6.706390528030706e-10,0.005555555555555556,0.0,0.0,0.0,2.7488409389961064e-06
2026-01-02,89944.6953125,28.0,11.406950263904251,1289,0.0,0.0,0.0,,,0,4.44002238141146e-06,4.097144806533936e-06,1.1591229555741096e-05,0.09315068493150686,-41.23922183463901,0.0,0.0,0.0,0.0,1247.760778165361,1.0,0.0,5.487046795661487e-10,0.9925753471996703,1.0385714060814637e-05,0.0001932025430885639,5.487046795661487e-10,0.005555555555555556,0.0,0.0,0.0,2.2490516773604504e-06
2026-01-03,90603.1875,29.0,11.4142446735314,1290,0.0,0.0,0.0,,,0,3.6327455847911946e-06,3.3522093871641293e-06,9.483733272879078e-06,0.09041095890410959,-42.7759686453644,0.0,0.0,0.0,0.0,1247.2240313546356,1.0,0.0,4.489401923723034e-10,0.9939252840724575,8.497402413393794e-06,0.00015807480798155226,4.489401923723034e-10,0.005555555555555556,0.0,0.0,0.0,1.8401331905676411e-06
2026-01-04,91413.4921875,25.0,11.423148363479006,1291,0.0,0.0,0.0,,,0,2.9722463875564315e-06,2.7427167713161055e-06,7.759418132355608e-06,0.08767123287671233,-44.26159671221126,0.0,0.0,0.0,0.0,1246.7384032877887,1.0,0.0,3.673147028500664e-10,0.9950297778774653,6.952420156413104e-06,0.00012933393380308822,3.673147028500664e-10,0.005555555555555556,0.0,0.0,0.0,1.5055635195553427e-06
2026-01-05,93882.5546875,26.0,11.44979986186037,1292,0.0,0.0,0.0,,,0,2.431837953455262e-06,2.244040994713177e-06,6.348614835563679e-06,0.08493150684931507,-45.70097448697743,0.0,0.0,0.0,0.0,1246.2990255130226,1.0,0.0,3.0053021142278157e-10,0.9959334546270169,5.688343764337994e-06,0.00010581867311161763,3.0053021142278157e-10,0.005555555555555556,0.0,0.0,0.0,1.2318246978180076e-06
2026-01-06,93729.03125,44.0,11.448163252148872,1293,0.0,0.0,0.0,,,0,1.9896855982815777e-06,1.836033541128963e-06,5.194321229097555e-06,0.0821917808219178,-47.09850675938492,0.0,0.0,0.0,0.0,1245.901493240615,1.0,0.0,2.4588835480045765e-10,0.9966728265130138,4.654099443549268e-06,8.657891436405078e-05,2.4588835480045765e-10,0.005555555555555556,0.0,0.0,0.0,1.0078565709420062e-06
2026-01-07,91308.0546875,42.0,11.42199428489872,1294,0.0,0.0,0.0,,,0,1.6279245804121998e-06,1.502209260923697e-06,4.249899187443453e-06,0.07945205479452055,-48.45817881537255,0.0,0.0,0.0,0.0,1245.5418211846275,1.0,0.0,2.0118138120037443e-10,0.9972777671470112,3.807899544722128e-06,7.0837293570587e-05,2.0118138120037443e-10,0.005555555555555556,0.0,0.0,0.0,8.246099216798232e-07
2026-01-08,91027.125,28.0,11.418912818005964,1295,0.0,0.0,0.0,,,0,1.331938293064527e-06,1.2290803043921156e-06,3.4771902442719163e-06,0.07671232876712329,-49.78359638983761,0.0,0.0,0.0,0.0,1245.2164036101624,1.0,0.0,1.646029482548518e-10,0.9977727185748273,3.115554172954468e-06,5.795778564866209e-05,1.646029482548518e-10,0.005555555555555556,0.0,0.0,0.0,6.746808450107645e-07
2026-01-09,90513.1015625,27.0,11.413249887856457,1296,0.0,0.0,0.0,,,0,1.089767694325522e-06,1.0056111581390036e-06,2.844973836222477e-06,0.07397260273972603,-51.07802181435363,0.0,0.0,0.0,0.0,1244.9219781856464,1.0,0.0,1.3467513948124237e-10,0.9981776788339496,2.5490897778718374e-06,4.742000643981443e-05,1.3467513948124237e-10,0.005555555555555556,0.0,0.0,0.0,5.520116004633527e-07
2026-01-10,90386.6484375,25.0,11.411851841196953,1297,0.0,0.0,0.0,,,0,8.916281135390634e-07,8.227727657500938e-07,2.327705866000208e-06,0.07123287671232877,-52.344406722249005,0.0,0.0,0.0,0.0,1244.655593277751,1.0,0.0,1.1018875048465284e-10,0.9985090099550495,2.085618909167867e-06,3.87981870871209e-05,1.1018875048465284e-10,0.005555555555555556,0.0,0.0,0.0,4.5164585492456123e-07
2026-01-11,90827.4609375,29.0,11.416716952098053,1298,0.0,0.0,0.0,,,0,7.295139110774154e-07,6.731777174318949e-07,1.9044866176365336e-06,0.0684931506849315,-53.58542163891639,0.0,0.0,0.0,0.0,1244.4145783610836,1.0,0.0,9.015443221471594e-11,0.9987800990541313,1.7064154711373455e-06,3.1743971253098913e-05,9.015443221471594e-11,0.005555555555555556,0.0,0.0,0.0,3.6952842675645914e-07
2026-01-12,91192.9921875,27.0,11.420733333060733,1299,0.0,0.0,0.0,,,0,5.96875018154249e-07,5.50781768807914e-07,1.5582163235208e-06,0.06575342465753424,-54.80348275399638,0.0,0.0,0.0,0.0,1244.1965172460036,1.0,0.0,7.376271726658577e-11,0.9990018992261074,1.396158112748737e-06,2.5972340116171837e-05,7.376271726658577e-11,0.005555555555555556,0.0,0.0,0.0,3.0234144007346653e-07
2026-01-13,95321.78125,26.0,11.465013618092211,1300,0.6399471718337775,0.5706143598109416,0.9750950921960123,1302.2698254054364,2.2698254054364497,15,0.11635451959479258,0.10374851605980022,0.17729129166717603,0.06301369863013699,-50.272691500716974,0.0,0.0,0.7070081274054578,0.9051482536448665,1249.727308499283,1.0,0.6464357046594327,0.11753376454388452,0.9991833720940877,0.16457355206479524,2.727293977369186,0.11753376454388452,0.7944444444444444,0.5706143598109416,0.1,0.2843188265462799,0.051694579469592765
2026-01-14,96929.328125,48.0,11.48173741591409,1301,0.13471277012648428,0.5330685657209726,0.9888153221280238,1302.0122927047219,1.0122927047218582,2,0.11969238332782743,0.18180670690728612,0.3248411153873302,0.06027397260273973,-46.29316919543703,0.0,0.0,0.6825208439078533,0.197375320224904,1254.706830804563,1.0,0.13532021893485896,0.12076766534224351,0.9993318498951627,0.17053750991208771,2.5950587087566066,0.12076766534224351,0.8055555555555556,0.5330685657209726,0.013333333333333334,0.12191168636991631,0.0644613261787425
2026-01-15,95551.1875,61.0,11.467417377639334,1302,0.0,0.0,0.0,,,0,0.09793013181367698,0.14875094201505226,0.2657790944078156,0.057534246575342465,-42.787887109707526,0.0,0.0,0.0,0.0,1259.2121128902925,1.0,0.0,0.09880990800729013,0.9994533317324057,0.13953068992807174,2.1232298526190414,0.09880990800729013,0.7888888888888889,0.0,0.0,0.0,0.05274108505533477
2026-01-16,95525.1171875,49.0,11.467144499087444,1303,0.0,0.0,0.0,,,0,0.08012465330209934,0.12170531619413366,0.21745562269730367,0.0547945205479452,-39.71167950833319,0.0,0.0,0.0,0.0,1263.2883204916668,1.0,0.0,0.08084447018778283,0.9995527259628774,0.11416147357751323,1.7371880612337611,0.08084447018778283,0.7777777777777778,0.0,0.0,0.0,0.043151796863455716
2026-01-17,95099.921875,50.0,11.462683427029464,1304,0.0,0.0,0.0,,,0,0.06555653451989946,0.09957707688610935,0.17791823675233936,0.052054794520547946,-37.02368215470892,0.0,0.0,0.0,0.0,1266.976317845291,1.0,0.0,0.06614547560818596,0.9996340485150814,0.09340484201796537,1.4213356864639863,0.06614547560818596,0.7666666666666667,0.0,0.0,0.0,0.03530601561555467
2026-01-18,93634.4296875,49.0,11.447153433371339,1305,0.0,0.0,0.0,,,0,0.05363716460719046,0.08147215381590765,0.1455694664337322,0.049315068493150684,-34.686922644286824,0.0,0.0,0.0,0.0,1270.3130773557132,1.0,0.0,0.054119025497606686,0.9997005851487029,0.07642214346924439,1.162911016197807,0.054119025497606686,0.7555555555555555,0.0,0.0,0.0,0.028886740049090184
